Year ,Jan.,Feb.,Mar.,Apr.,May,Jun.,Jul.,Aug.,Sep.,Oct.,Nov.,Dec.,I,II,III,IV
2019,970,919,"1,046","1,069",948,"1,042","1,046","1,040","1,080","1,203",984,837,"2,935","3,059","3,166","3,024"
2020,"1,020",930,"1,169","1,077",918,969,"1,026","1,058","1,157","1,104","1,009",839,"3,119","2,964","3,241","2,951"
2021,968,942,"1,048","1,073","1,100","1,012","1,116","1,068",999,"1,265",999,956,"2,958","3,185","3,184","3,220"
2022,938,993,"1,085","1,069","1,094","1,018","1,053","1,124",983,"1,253",933,983,"3,016","3,181","3,160","3,168"
2023,"1,040",997,"1,094","1,047","1,023","1,037",996,"1,094","1,092","1,152",951,933,"3,131","3,107","3,183","3,036"
